new_screening_id,previous_screening_id,match_method,manual_level3_decision,new_title,previous_title,year,doi
NS1784,NS1791,doi,OUT,Digital Twin Driven Quality Control in Smart Mobile Factories: A Framework in Precast Manufacturing,Digital Twin Driven Quality Control in Smart Mobile Factories: A Framework in Precast Manufacturing,2025,10.1016/j.procir.2025.02.194
NS1791,NS1799,doi,OUT,Optical Sensing in Industrial Process Monitoring and Control,Optical Sensing in Industrial Process Monitoring and Control,2025,10.1201/9781003546719-13
NS1793,NS1801,doi,OUT,"Analysis of Automation in Foundries for Transforming Production Efficiency, Quality Control, and Operational Resilience","Analysis of Automation in Foundries for Transforming Production Efficiency, Quality Control, and Operational Resilience",2025,10.1109/ICMLAS64557.2025.10967654
NS1794,NS1802,doi,OUT,An Inherently Explainable Approach for Reinforcement Learning Based Dispatching in Semiconductor Frontend Fabs,An Inherently Explainable Approach for Reinforcement Learning Based Dispatching in Semiconductor Frontend Fabs,2025,10.1109/ASMC64512.2025.11010277
NS1798,NS1807,doi,OUT,A Robotic Teleoperation System with Integrated Augmented Reality and Digital Twin Technologies for Disassembling End-of-Life Batteries,A Robotic Teleoperation System with Integrated Augmented Reality and Digital Twin Technologies for Disassembling End-of-Life Batteries,2024,10.3390/batteries10110382
NS1801,NS1809,doi,OUT,Digital Twin-Based Simulation and Virtual-Real Mapping of Inspection Cell Robots,Digital Twin-Based Simulation and Virtual-Real Mapping of Inspection Cell Robots,2025,10.1007/978-3-031-73407-6_8
NS1802,NS1810,doi,OUT,Research Progress on the Multi-Physics Coupling Mechanisms of the Molten Pool in Laser Additive Manufacturing and Cross-Scale Performance Regulation,Research Progress on the Multi-Physics Coupling Mechanisms of the Molten Pool in Laser Additive Manufacturing and Cross-Scale Performance Regulation,2025,10.1007/s40684-025-00791-4
NS1803,NS1811,doi,OUT,Interactive Tools and Digital Twins for Training in Industry 5.0: A Review,Interactive Tools and Digital Twins for Training in Industry 5.0: A Review,2025,10.1109/ESAI67033.2025.11438576
NS1805,NS1813,doi,OUT,Integrate MBSE and SysML 2.0 for Next-Generation Cyber-Resilient Semiconductor Architectures,Integrate MBSE and SysML 2.0 for Next-Generation Cyber-Resilient Semiconductor Architectures,2025,10.1109/LAEDC65721.2025.11288958
NS1806,NS1814,doi,OUT,Automated generation of digital models for manufacturing systems: The event-centric process mining approach,Automated generation of digital models for manufacturing systems: The event-centric process mining approach,2024,10.1016/j.cie.2024.110596
NS1807,NS1815,doi,OUT,Digital Transition to a Paperless Checklist Integrated into the Industrial Information System,Digital Transition to a Paperless Checklist Integrated into the Industrial Information System,2025,10.1007/978-3-031-89621-7_12
NS1809,NS1817,doi,OUT,"The ParallelWorkforce: A Framework for Synergistic Collaboration in Digital, Robotic, and Biological Workers of Industry 5.0","The ParallelWorkforce: A Framework for Synergistic Collaboration in Digital, Robotic, and Biological Workers of Industry 5.0",2025,10.1109/TCSS.2024.3512576
NS1811,NS1819,doi,OUT,Digital Twin for Flexible Manufacturing Systems and Optimization Through Simulation: A Case Study,Digital Twin for Flexible Manufacturing Systems and Optimization Through Simulation: A Case Study,2024,10.3390/machines12110785
NS1813,NS1820,doi,OUT,Digital Twin Tools for Smart Manufacturing: A Paradigm Shift for Industry 4.0,Digital Twin Tools for Smart Manufacturing: A Paradigm Shift for Industry 4.0,2025,10.1109/OJIES.2025.3628531
NS1824,NS1831,doi,OUT,Automated Assembly Picking System for Cluttered Environments with Live Collision-Free Trajectory Planning,Automated Assembly Picking System for Cluttered Environments with Live Collision-Free Trajectory Planning,2025,10.1109/ETFA65518.2025.11205656
NS1825,NS1338,doi,OUT,Digital Twin for Scheduling Management in Manufacturing Systems: Review and Perspectives,Digital Twin for Scheduling Management in Manufacturing Systems: Review and Perspectives,2025,10.1007/978-3-032-04742-7_48
NS1826,NS1833,doi,OUT,Smart and Resilient Manufacturing: Machine Learning Approach to Identify Patterns of Employee Skill Levels for Cognitive Assistance Within Inspection Processes,Smart and Resilient Manufacturing: Machine Learning Approach to Identify Patterns of Employee Skill Levels for Cognitive Assistance Within Inspection Processes,2025,10.1007/978-3-031-92082-0_17
NS1828,NS1835,doi,OUT,Virtual Commissioning of Mass Personalisation Manufacturing System Based on Digital Twins in Smart Factory Environment,Virtual Commissioning of Mass Personalisation Manufacturing System Based on Digital Twins in Smart Factory Environment,2025,10.1109/ICMRE64970.2025.10976280
NS1829,NS1836,doi,OUT,Proximal Policy Optimization-Based Robotic Motion Control for High-Frequency Brazing Task of Copper Tube Joining,Proximal Policy Optimization-Based Robotic Motion Control for High-Frequency Brazing Task of Copper Tube Joining,2025,10.1109/ICCMA67641.2025.11369623
NS1835,NS1841,doi,OUT,Industrial IoT and Sustainable Development,Industrial IoT and Sustainable Development,2025,10.1002/9781394337262.ch07
NS1838,NS1844,doi,OUT,A Self-Tuning Digital Immune Cybersecurity Model for Manufacturing Industry 4.0.,A Self-Tuning Digital Immune Cybersecurity Model for Manufacturing Industry 4.0.,2025,10.1002/9781394383788.ch5
NS1841,NS1847,doi,OUT,Multi-dimensional digital twin for cable assembly by synthetic data and reinforcement learning,Multi-dimensional digital twin for cable assembly by synthetic data and reinforcement learning,2025,10.1080/0951192X.2025.2534600
NS1842,NS1848,doi,OUT,A DIGITAL TWIN FRAMEWORK FOR COMPUTER HARDWARE DESIGN AND ASSEMBLY: A RISK-PRIORITIZED APPROACH,A DIGITAL TWIN FRAMEWORK FOR COMPUTER HARDWARE DESIGN AND ASSEMBLY: A RISK-PRIORITIZED APPROACH,2025,10.1115/MSEC2025-155848
NS1845,NS1851,doi,OUT,Simulation Technique for Coupled Vibration Between Machine Tool Dynamics and Cutting Force: A Method by Simscape Multibody Model and Boolean Operation Between Tool and Workpiece Geometries,Simulation Technique for Coupled Vibration Between Machine Tool Dynamics and Cutting Force: A Method by Simscape Multibody Model and Boolean Operation Between Tool and Workpiece Geometries,2025,10.20965/ijat.2025.p0050
NS1850,NS1366,doi,OUT,Digital twins and brain surgery: revolutionizing neurosurgical procedures through advanced simulation,Digital twins and brain surgery: revolutionizing neurosurgical procedures through advanced simulation,2025,10.1016/B978-0-443-34226-4.00021-6
NS1853,NS1859,doi,OUT,A Modular and Behavioural Framework for Adaptive Robotic Execution and Planning Using NOVAAS,A Modular and Behavioural Framework for Adaptive Robotic Execution and Planning Using NOVAAS,2025,10.1109/DCOSS-IoT65416.2025.00167
NS1860,NS1867,doi,OUT,Real-Time Rule-Based Monitoring Tool to Achieve Zero Defect Manufacturing,Real-Time Rule-Based Monitoring Tool to Achieve Zero Defect Manufacturing,2025,10.1007/978-3-031-85316-6_20
NS1861,NS1868,doi,OUT,"The Role of Mobile Communications for Industrial Automation: Architecture, Applications and Challenges","The Role of Mobile Communications for Industrial Automation: Architecture, Applications and Challenges",2025,10.1109/OJCOMS.2025.3595403
NS1866,NS1871,doi,OUT,Application and Optimization of Industrial Internet and Big Data Analytics in Enterprise Decision-Making †,Application and Optimization of Industrial Internet and Big Data Analytics in Enterprise Decision-Making †,2025,10.3390/engproc2025103027
NS1877,NS1882,doi,OUT,A Framework for BIM-Driven Construction Robot Assembly: From Simulation to Real-World Implementation,A Framework for BIM-Driven Construction Robot Assembly: From Simulation to Real-World Implementation,2025,10.1109/AIRC64931.2025.11077531
NS1878,NS1391,doi,OUT,EMPIRICAL VALIDATION OF BIM-TO-DIGITAL TWIN TRANSFORMATION FOR SMART MOBILE FACTORIES: A CASE STUDY,EMPIRICAL VALIDATION OF BIM-TO-DIGITAL TWIN TRANSFORMATION FOR SMART MOBILE FACTORIES: A CASE STUDY,2025,10.35490/EC3.2025.238
NS1883,NS1888,doi,OUT,Digital twins for advanced manufacturing,Digital twins for advanced manufacturing,2025,10.1201/9781003470861-6
NS1885,NS1891,doi,OUT,A Digital Twin Trinity for Adaptive Evaluation of Machining Process,A Digital Twin Trinity for Adaptive Evaluation of Machining Process,2025,10.1109/CASE58245.2025.11163758
NS1888,NS1407,doi,OUT,Improving Assembly Lines with Digital Twins: A Synthetic Case Study,Improving Assembly Lines with Digital Twins: A Synthetic Case Study,2025,10.1007/978-3-031-80366-6_3
NS1889,NS1895,doi,OUT,Scalable System to Support a Digital Twin of a Stone Factory Production Line,Scalable System to Support a Digital Twin of a Stone Factory Production Line,2025,10.1109/ACCESS.2025.3531940
NS1892,NS1899,doi,OUT,COMPUTATION OBJECT METAMODEL FOR MANUFACTURING DIGITAL TWIN INTEGRATION,COMPUTATION OBJECT METAMODEL FOR MANUFACTURING DIGITAL TWIN INTEGRATION,2025,10.1115/DETC2025-168602
NS1893,NS1900,doi,OUT,Towards a Digital Twin-Based Evaluation Framework for Cyber-Physical Production Systems: Latin America SMEs Guideline,Towards a Digital Twin-Based Evaluation Framework for Cyber-Physical Production Systems: Latin America SMEs Guideline,2025,10.1109/ETFA65518.2025.11205706
